Day,Total,1,2,3,4,5,6,2P
25/07/2015,8,8,4,3,1,0,0,0,0
26/07/2015,19,19,11,4,4,0,0,0,0
27/07/2015,11,11,3,4,4,0,0,0,0
28/07/2015,8,8,3,4,1,0,0,0,0
29/07/2015,4,4,1,3,0,0,0,0,0
30/07/2015,10,10,6,4,0,0,0,0,0
31/07/2015,13,13,6,6,1,0,0,0,0
01/08/2015,11,11,6,4,1,0,0,0,0
02/08/2015,15,15,9,3,3,0,0,0,0
03/08/2015,10,10,6,0,4,0,0,0,0
04/08/2015,8,8,6,2,0,0,0,0,0
05/08/2015,2,2,2,0,0,0,0,0,0
06/08/2015,11,11,6,4,1,0,0,0,0
07/08/2015,12,12,6,4,2,0,0,0,0
08/08/2015,14,14,9,4,1,0,0,0,0
09/08/2015,9,9,6,2,1,0,0,0,0
10/08/2015,13,13,5,4,4,0,0,0,0
11/08/2015,12,12,6,4,2,0,0,0,0
12/08/2015,13,13,8,2,3,0,0,0,0
13/08/2015,6,6,4,2,0,0,0,0,0
14/08/2015,5,5,2,3,0,0,0,0,0
15/08/2015,7,7,4,1,2,0,0,0,0
16/08/2015,11,11,6,3,2,0,0,0,0
17/08/2015,11,11,6,4,0,0,0,0,1
18/08/2015,8,8,6,2,0,0,0,0,0
19/08/2015,6,6,5,1,0,0,0,0,0
20/08/2015,7,7,4,3,0,0,0,0,0
21/08/2015,10,10,4,3,3,0,0,0,0
22/08/2015,9,9,5,2,2,0,0,0,0
23/08/2015,13,13,8,4,0,0,0,0,1
24/08/2015,16,16,9,5,2,0,0,0,0
25/08/2015,10,10,5,4,0,0,0,0,1
26/08/2015,12,12,7,3,2,0,0,0,0
27/08/2015,12,12,7,4,1,0,0,0,0
28/08/2015,10,10,3,4,3,0,0,0,0
29/08/2015,15,15,9,4,1,0,0,0,1
30/08/2015,13,13,5,4,4,0,0,0,0
31/08/2015,7,7,5,1,1,0,0,0,0
01/09/2015,4,4,1,1,2,0,0,0,0
02/09/2015,12,12,8,3,1,0,0,0,0
03/09/2015,10,10,6,2,2,0,0,0,0
04/09/2015,12,12,10,2,0,0,0,0,0
05/09/2015,9,9,6,3,0,0,0,0,0
06/09/2015,6,6,5,1,0,0,0,0,0
07/09/2015,7,7,2,4,1,0,0,0,0
08/09/2015,5,5,5,0,0,0,0,0,0
09/09/2015,5,5,2,3,0,0,0,0,0
10/09/2015,9,9,6,2,1,0,0,0,0
11/09/2015,2,2,1,1,0,0,0,0,0
12/09/2015,9,9,5,4,0,0,0,0,0
13/09/2015,8,8,4,4,0,0,0,0,0
14/09/2015,3,3,1,2,0,0,0,0,0
15/09/2015,7,7,1,5,1,0,0,0,0
16/09/2015,6,6,2,3,1,0,0,0,0
17/09/2015,7,7,6,1,0,0,0,0,0
18/09/2015,9,9,3,4,1,0,0,0,1
19/09/2015,7,7,3,4,0,0,0,0,0
20/09/2015,15,15,4,9,2,0,0,0,0
21/09/2015,7,7,4,1,2,0,0,0,0
22/09/2015,6,6,3,2,0,0,0,0,1
23/09/2015,6,6,2,3,1,0,0,0,0
24/09/2015,5,5,2,2,0,0,0,0,1
25/09/2015,6,6,3,3,0,0,0,0,0
26/09/2015,4,4,2,1,1,0,0,0,0
27/09/2015,7,7,1,6,0,0,0,0,0
28/09/2015,8,8,4,3,1,0,0,0,0
29/09/2015,4,4,2,1,1,0,0,0,0
30/09/2015,5,5,2,2,1,0,0,0,0
01/10/2015,5,5,2,2,1,0,0,0,0
02/10/2015,1,1,1,0,0,0,0,0,0
03/10/2015,2,2,1,0,1,0,0,0,0
04/10/2015,2,2,0,2,0,0,0,0,0
05/10/2015,2,2,2,0,0,0,0,0,0
06/10/2015,0,0,0,0,0,0,0,0,0
08/10/2015,1,1,0,0,1,0,0,0,0
10/10/2015,1,1,0,0,1,0,0,0,0
11/10/2015,0,0,0,0,0,0,0,0,0
12/10/2015,1,1,1,0,0,0,0,0,0
13/10/2015,0,0,0,0,0,0,0,0,0
14/10/2015,0,0,0,0,0,0,0,0,0
15/10/2015,2,2,2,0,0,0,0,0,0
16/10/2015,0,0,0,0,0,0,0,0,0
18/10/2015,0,0,0,0,0,0,0,0,0
19/10/2015,0,0,0,0,0,0,0,0,0
20/10/2015,1,1,0,0,1,0,0,0,0
21/10/2015,1,1,0,1,0,0,0,0,0
22/10/2015,2,2,1,0,1,0,0,0,0
23/10/2015,1,1,1,0,0,0,0,0,0
25/10/2015,1,1,0,0,1,0,0,0,0
26/10/2015,1,1,0,1,0,0,0,0,0
27/10/2015,1,1,0,0,1,0,0,0,0
28/10/2015,0,0,0,0,0,0,0,0,0
31/10/2015,1,1,1,0,0,0,0,0,0
02/11/2015,1,1,1,0,0,0,0,0,0
05/11/2015,2,2,0,0,0,0,0,0,2
08/11/2015,0,0,0,0,0,0,0,0,0
09/11/2015,1,1,0,0,0,0,0,0,1
10/11/2015,1,1,0,1,0,0,0,0,0
12/11/2015,0,0,0,0,0,0,0,0,0
19/11/2015,0,0,0,0,0,0,0,0,0
20/11/2015,0,0,0,0,0,0,0,0,0
24/11/2015,1,1,0,1,0,0,0,0,0
27/11/2015,0,0,0,0,0,0,0,0,0
29/11/2015,1,1,1,0,0,0,0,0,0
01/12/2015,1,1,1,0,0,0,0,0,0
03/12/2015,1,1,0,0,0,0,0,0,1
07/12/2015,0,0,0,0,0,0,0,0,0
10/12/2015,0,0,0,0,0,0,0,0,0
11/12/2015,0,0,0,0,0,0,0,0,0
16/12/2015,1,1,0,1,0,0,0,0,0
20/12/2015,1,1,0,1,0,0,0,0,0
22/12/2015,1,1,1,0,0,0,0,0,0
31/12/2015,1,1,0,0,1,0,0,0,0
01/01/2016,1,1,0,0,0,0,0,0,1
05/01/2016,0,0,0,0,0,0,0,0,0
06/01/2016,1,1,0,0,0,0,0,0,1
23/01/2016,0,0,0,0,0,0,0,0,0
26/01/2016,1,1,1,0,0,0,0,0,0
28/01/2016,1,1,0,0,0,0,0,0,1
04/02/2016,0,0,0,0,0,0,0,0,0
05/02/2016,1,1,0,0,1,0,0,0,0
07/02/2016,1,1,0,0,0,0,0,0,1
10/02/2016,1,1,0,0,0,0,0,0,1
12/02/2016,0,0,0,0,0,0,0,0,0
13/02/2016,1,1,0,0,0,0,0,0,1
15/02/2016,0,0,0,0,0,0,0,0,0
21/02/2016,1,1,0,0,0,0,0,0,1
23/02/2016,0,0,0,0,0,0,0,0,0
02/03/2016,0,0,0,0,0,0,0,0,0
07/03/2016,2,2,0,0,1,0,0,0,1
11/03/2016,1,1,0,0,0,0,0,0,1
16/03/2016,1,1,0,0,0,0,0,0,1
19/03/2016,1,1,0,0,1,0,0,0,0
23/03/2016,0,0,0,0,0,0,0,0,0
26/03/2016,1,1,0,1,0,0,0,0,0
30/03/2016,0,0,0,0,0,0,0,0,0
01/04/2016,1,1,0,0,0,0,0,0,1
27/04/2016,1,1,1,0,0,0,0,0,0
29/04/2016,2,2,1,0,0,0,0,0,1
01/05/2016,2,2,0,0,2,0,0,0,0
03/05/2016,2,2,0,0,1,0,0,0,1
04/05/2016,3,3,1,0,1,0,0,0,1
05/05/2016,0,0,0,0,0,0,0,0,0
06/05/2016,2,2,0,1,1,0,0,0,0
07/05/2016,0,0,0,0,0,0,0,0,0
08/05/2016,3,3,2,1,0,0,0,0,0
09/05/2016,3,3,2,0,0,0,0,0,1
10/05/2016,2,2,0,1,1,0,0,0,0
11/05/2016,1,1,1,0,0,0,0,0,0
12/05/2016,2,2,0,2,0,0,0,0,0
13/05/2016,1,1,1,0,0,0,0,0,0
14/05/2016,1,1,0,1,0,0,0,0,0
15/05/2016,2,2,1,1,0,0,0,0,0
16/05/2016,1,1,1,0,0,0,0,0,0
17/05/2016,5,5,4,1,0,0,0,0,0
18/05/2016,2,2,1,1,0,0,0,0,0
19/05/2016,2,2,2,0,0,0,0,0,0
20/05/2016,2,2,2,0,0,0,0,0,0
21/05/2016,3,3,0,2,1,0,0,0,0
22/05/2016,4,4,2,0,2,0,0,0,0
25/05/2016,0,0,0,0,0,0,0,0,0
26/05/2016,1,1,1,0,0,0,0,0,0
27/05/2016,2,2,1,0,1,0,0,0,0
28/05/2016,2,2,2,0,0,0,0,0,0
29/05/2016,4,4,2,1,0,0,0,0,1
30/05/2016,3,3,3,0,0,0,0,0,0
31/05/2016,2,2,2,0,0,0,0,0,0
